object_type,object_id,st_astext
way,251666431,POINT (30.001948 31.266264)
way,178584095,POINT (30.001743 31.266408)
way,251317408,POINT (30.000244 31.267555)
way,88051516,POINT (32.294444 31.271917)
way,245531478,POINT (32.305265 31.268406)
way,171970376,POINT (31.802686 31.424628)
way,171970376,POINT (31.802730 31.424560)
way,171970366,POINT (31.802796 31.424664)
way,171970366,POINT (31.802837 31.424596)
way,304962471,POINT (31.804842 31.425431)
way,87770647,POINT (31.804899 31.425361)
way,224311659,POINT (-7.995186 31.632273)
way,224394748,POINT (-7.994743 31.632188)
way,224311744,POINT (-7.994744 31.632194)
way,224311564,POINT (-7.978661 31.629026)
way,224311564,POINT (-7.978338 31.629259)
way,218903803,POINT (34.871453 31.940817)
way,345761916,POINT (20.103684 32.073868)
way,101420617,POINT (20.114173 32.076252)
way,345642412,POINT (20.112501 32.078632)
way,345642416,POINT (20.114898 32.075759)
way,112052365,POINT (20.099355 32.105340)
way,344740976,POINT (20.099759 32.105370)
way,290193400,POINT (13.178408 32.883534)
way,97667278,POINT (-7.625207 33.583635)
way,315894507,POINT (-7.625121 33.583764)
way,314742167,POINT (-7.626641 33.593477)
way,97558824,POINT (-7.626143 33.594228)
way,315929406,POINT (-7.619497 33.587773)
way,315929406,POINT (-7.619448 33.587777)
way,29892888,POINT (-7.609060 33.589038)
way,276233394,POINT (-7.605326 33.586433)
way,276233394,POINT (-7.606135 33.585374)
way,276233393,POINT (-7.605363 33.586451)
way,276233393,POINT (-7.603768 33.591165)
way,276233393,POINT (-7.603673 33.593526)
way,276233393,POINT (-7.603681 33.593432)
way,36853383,POINT (-7.603746 33.592275)
way,36853383,POINT (-7.603680 33.592275)
way,276233394,POINT (-7.603719 33.591164)
way,276233394,POINT (-7.603604 33.593526)
way,276233394,POINT (-7.603609 33.593430)
way,36853667,POINT (-7.603573 33.594673)
way,36853667,POINT (-7.603519 33.594679)
way,208638558,POINT (-6.873197 33.987557)
way,160202734,POINT (-6.843002 34.020625)
way,220524730,POINT (-2.943656 35.276390)
way,220524733,POINT (-2.941636 35.276423)
way,302470690,POINT (-2.955010 35.291933)
way,94069577,POINT (-5.362340 35.568286)
way,94069619,POINT (-5.362352 35.568351)
way,306855010,POINT (-5.807942 35.780967)
way,103433716,POINT (10.588489 35.897055)
way,166821301,POINT (-5.456158 36.112619)
way,166821299,POINT (-5.456201 36.112660)
way,166821302,POINT (-5.455849 36.113270)
way,166821287,POINT (-5.455757 36.113319)
way,236381808,POINT (-5.456194 36.121246)
way,22680393,POINT (-5.447710 36.122995)
way,122238130,POINT (-5.348107 36.154888)
way,372403748,POINT (-5.348910 36.156029)
way,286489546,POINT (-5.338114 36.174951)
way,286489546,POINT (-5.337811 36.174868)
way,311562415,POINT (-5.436550 36.177134)
way,311562415,POINT (-5.436623 36.177332)
way,293082509,POINT (-5.437452 36.179587)
way,361051289,POINT (-5.437473 36.179645)
way,205206600,POINT (-5.918664 36.191484)
way,335734467,POINT (-5.917054 36.193456)
way,152978422,POINT (-5.403387 36.185433)
way,288575754,POINT (-5.967181 36.247114)
way,240896897,POINT (-6.151522 36.316955)
way,109741110,POINT (10.537542 36.378012)
